scene,mean acc,count,var acc
mountain_path,0.658527,2,0.019019520648
martial_arts_gym,0.6587715,2,0.0371736464445
water_mill,0.659536,1,
trench,0.660623,1,
athletic_field_indoor,0.660761,1,
gangplank,0.661929,1,
courtyard,0.662291,1,
clothing_store,0.662639666667,3,0.00221906563033
block,0.662985,2,0.027949099592
rope_bridge,0.66336,1,
caravansary,0.663941,1,
basement,0.665913,3,0.010104427072
tidal_basin,0.668567,1,
tent_outdoor,0.669344,1,
velodrome_indoor,0.669399,1,
chicken_coop_outdoor,0.670003,1,
barn,0.672911,1,
ice_skating_rink_indoor,0.6731695,2,0.0982587749045
auto_factory,0.6742215,2,0.0356057955125
wetland,0.674497,1,
swimming_pool_indoor,0.674721,1,
runway,0.674948,2,0.106337039778
trellis,0.675117,1,
mosque_outdoor,0.675167,2,0.075939280328
student_center,0.675929,1,
hill,0.676221666667,3,0.0727768340893
coast_road,0.67627,1,
hedgerow,0.676383,1,
nuclear_power_plant_outdoor,0.676608,1,
sand,0.6777375,2,0.0083392155125
wet_bar,0.677862,4,0.047925933266
rubble,0.679117,1,
beer_hall,0.679341,1,
armory,0.679723,1,
restaurant_patio,0.6812845,2,0.0002570778125
bypass,0.682178,1,
taxiway,0.682631,1,
movie_theater_indoor,0.6840185,2,0.0227823723405
bell_foundry,0.685326,1,
t-bar_lift,0.6863,1,
valley,0.6865955,4,0.0458461175417
buffet,0.6887595,2,0.0780168450605
great_hall,0.689129,1,
military_hospital,0.689551,1,
circus_tent_outdoor,0.691835,1,
jacuzzi_outdoor,0.692898,1,
water,0.695015,1,
doorway_indoor,0.6954305,2,0.0812718149445
office,0.695914692308,13,0.0236847622116
distillery,0.6985,1,
delicatessen,0.6988325,2,0.0499011436125
heliport,0.699089,1,
closet,0.700301285714,7,0.0331242248602
beauty_salon,0.701804333333,3,0.0207865515503
bathhouse_outdoor,0.702544,1,
bistro_indoor,0.703165,1,
chicken_coop_indoor,0.70443,1,
backroom,0.705043,1,
breakroom,0.706575,1,
classroom,0.7083924,5,0.0247373550283
hospital,0.708596,1,
sewer,0.70868,1,
fire_escape,0.711298,1,
ballroom,0.711385333333,3,0.0538825549653
questionable,0.711482,1,
pantry,0.713165666667,3,0.107221418776
operating_room,0.7135285,2,0.105256519745
staircase,0.714625333333,6,0.0126217656951
toyshop,0.7153015,2,0.0302803901405
vegetable_garden,0.716686,1,
forklift,0.717048,1,
moor,0.717588,1,
monastery_indoor,0.719585,1,
lookout_station_indoor,0.720346,1,
batters_box,0.720593,1,
bedchamber,0.721628,1,
root_cellar,0.722646,1,
outcropping,0.7236015,2,0.0144573109245
shoe_shop,0.7236755,4,0.007176645771
perfume_shop,0.724645,1,
workshop,0.726875,1,
garage_outdoor,0.727195,1,
topiary_garden,0.727567,1,
fan,0.7290885,2,4.694805e-07
portrait_studio,0.729807,1,
kitchen,0.730202820896,67,0.0183084236564
amusement_arcade,0.7306215,2,0.0001808611805
cultivated,0.7313545,4,0.0353157488763
ghost_town,0.731367,1,
jail_indoor,0.732302,1,
living_room,0.732479171429,70,0.013647654522
playground,0.734156666667,3,0.00574016943033
hollow,0.73422,1,
pump_room,0.734273,1,
covered_bridge_interior,0.73543,1,
schoolhouse,0.735545,1,
locker_room,0.7362345,2,0.0029358485645
islet,0.736392,1,
airplane,0.736535,1,
catacomb,0.737392,2,0.036238627328
backstairs_indoor,0.738191,1,
parade_ground,0.738759,1,
battlement,0.738822,1,
conference_hall,0.739029,1,
bleachers_outdoor,0.739713,1,
lighthouse,0.739989,5,0.0582067249885
home_office,0.741099,10,0.00455701717689
auditorium,0.741486333333,3,0.0307488050973
balcony_interior,0.741593666667,3,0.0139266606143
gymnasium_indoor,0.742152666667,3,0.00884122956033
room,0.742774,1,
ball_pit,0.743472,2,0.005766950408
archive,0.744468333333,3,0.0233370186663
steel_mill_outdoor,0.745734,1,
van_interior,0.746247,1,
house,0.7476652,5,0.0956331143192
bus_interior,0.747976666667,3,0.0341790574893
amusement_park,0.7495265,4,0.016042302087
bathroom,0.750893895522,67,0.017922963178
courthouse,0.75126,2,0.028695934178
access_road,0.7516555,2,0.0761104620125
day_care_center,0.752265,2,9.4503752e-05
indoor_round,0.752328,1,
lobby,0.7524315,6,0.0192799879115
basketball_court_outdoor,0.752754,1,
dressing_room,0.75279,1,
pueblo,0.75287,1,
podium_outdoor,0.755145,1,
dolmen,0.755261,1,
kiosk_outdoor,0.7557,1,
stall,0.755788,1,
geodesic_dome_indoor,0.75595,1,
air_base,0.756237,1,
cabana,0.7571865,2,0.0021424403405
misc,0.757997940397,151,0.036947573453
greenhouse_outdoor,0.758358,1,
bank_outdoor,0.7590395,2,0.0370058733005
jacuzzi_indoor,0.759349,4,0.0658254641613
church_outdoor,0.7594875,2,0.0316062596205
dining_car,0.760251,1,
coffee_shop,0.760279,1,
art_studio,0.762320111111,9,0.0161486916856
hunting_lodge_outdoor,0.764147,1,
shop,0.7655866,5,0.0079789009603
swimming_hole,0.765821,2,0.059292593522
awning_deck,0.765977,1,
airport_terminal,0.767112636364,11,0.0150565093347
campus,0.767184,2,0.004723531208
park,0.767241666667,9,0.0687356111405
dining_room,0.769800690476,42,0.008855163347
acropolis,0.769875,1,
boardwalk,0.770182,2,8.5569362e-05
office_building,0.7703665,2,0.0128860641845
cathedral_indoor,0.7705185,2,0.0181041906125
reception,0.770652166667,6,0.00599731414377
herb_garden,0.77329,1,
cataract,0.773746,1,
market_indoor,0.774098,1,
abbey,0.774211333333,3,0.0203692860023
ticket_booth,0.774755,1,
hallway,0.7752195,2,0.0217434231125
farm,0.775227,1,
hayfield,0.775845,1,
bayou,0.776197,1,
kindergarden_classroom,0.7763445,2,0.0566676212045
shopfront,0.776999,1,
promenade_deck,0.778043,1,
attic,0.778260555556,9,0.043533477946
alcove,0.7791065,2,0.0001283682645
flood,0.779318,1,
basketball_court_indoor,0.779612,1,
backwoods,0.779682,1,
fire_trench,0.780053,1,
east_asia,0.780929,2,0.032320514258
stage_indoor,0.781014,1,
flood_plain,0.7816595,2,0.0605189445125
raceway,0.781991,1,
resort,0.782167,1,
barbershop,0.78238,1,
ruin,0.782735,1,
dentists_office,0.7828305,2,0.0248125681445
parking_lot,0.783081333333,3,0.0879079457023
fastfood_restaurant,0.783353,3,0.013995577843
menhir,0.784282,1,
waiting_room,0.784458,10,0.00776080032867
fitting_room_interior,0.784565,1,
parlor,0.784719857143,7,0.00437634259881
garage_indoor,0.7847785,6,0.0135053079611
cafeteria,0.785176,1,
pagoda,0.785466,1,
construction_site,0.7856335,2,0.0768519933005
subway_interior,0.785909,2,0.000169721888
roundabout,0.786027,5,0.0246295896775
control_tower_indoor,0.787252,1,
call_center,0.787494,1,
artists_loft,0.787803666667,3,0.00973972874033
cottage,0.788178,1,
podium_indoor,0.788503,1,
amphitheater,0.78926,2,0.067880648882
scrubland,0.789342,2,0.013027562528
conference_room,0.7899215,16,0.00732628913893
military_hut,0.790142,1,
seaside,0.791512,1,
embassy,0.791818,1,
broadleaf,0.7921724,10,0.0100590155772
swimming_pool_outdoor,0.7933835,2,0.0030862296125
restroom_indoor,0.793448,1,
ski_resort,0.793698,1,
diner_outdoor,0.7941485,2,0.0035061100605
general_store_outdoor,0.794784,1,
utility_room,0.794899,3,0.031224049893
vegetation,0.79557,1,
tree_farm,0.796,1,
clean_room,0.79731,1,
laundromat,0.797749333333,3,0.0158801480173
road_indoor,0.797812,1,
butchers_shop,0.798239,1,
donjon,0.798302,1,
childs_room,0.799525285714,7,0.0172222306999
motel,0.80029,1,
music_studio,0.8011395,2,0.0413911114805
synagogue_outdoor,0.802809,1,
elevator_lobby,0.803366,1,
lido_deck_outdoor,0.803969,1,
crevasse,0.803995,2,0.025233361952
dock,0.80413,1,
market_outdoor,0.8041935,2,0.0330602326605
rotisserie,0.805273,1,
warehouse_indoor,0.8056644,5,0.0028340156773
auto_showroom,0.805898333333,3,0.0361613101323
church_indoor,0.806428,2,0.000578884338
skyscraper,0.806523677419,31,0.0298891437518
window_seat,0.80724025,4,0.0183397392462
botanical_garden,0.808205,2,0.024937251138
lecture_room,0.808281,2,0.04102107245
bedroom,0.808293789855,138,0.0114138909969
river,0.8084774,5,0.0095919234408
coast,0.809083285714,7,0.0345717896712
exterior,0.809124142857,7,0.0287611466855
kennel_outdoor,0.810182,1,
inn_indoor,0.8126855,2,0.0122178148805
bus_station_outdoor,0.813172,1,
storage_room,0.814597,1,
hardware_store,0.814604,1,
pulpit,0.815538,1,
palace,0.816031,1,
water_fountain,0.81623,1,
drugstore,0.816251,1,
dinette_home,0.816642,4,0.0137771775207
kitchenette,0.816781,1,
establishment,0.8168465,2,0.0001670243645
bridge,0.8172434,5,0.0175021825853
mineshaft,0.817399,1,
patio,0.817751,1,
escalator_indoor,0.8188195,2,7.43590125e-05
apse_indoor,0.818876,1,
field_road,0.818904,1,
reading_room,0.8193275,2,0.0298972159205
berth,0.819838,2,0.018879353928
ice_cream_parlor,0.819999,1,
alley,0.82147725,8,0.00684934242593
tower,0.82189,4,0.00982975158467
driveway,0.8242135,2,0.0020277622445
mini_golf_course_outdoor,0.824647,1,
cargo_container_interior,0.825407,2,0.008184065922
gulch,0.8266805,2,0.0048689698805
harbor,0.8269775,2,0.0115409066645
airport,0.827804,2,4.4481312e-05
burial_chamber,0.828146,1,
entranceway_indoor,0.828329,1,
tiltyard,0.828684,1,
hangar_indoor,0.828758,1,
labyrinth_outdoor,0.829143,1,
bow_window_indoor,0.829170333333,3,0.00507442069433
vineyard,0.829446,1,
witness_stand,0.829591,1,
mountain,0.832021625,8,0.0244163816737
lift_bridge,0.833124,1,
beach,0.833174,7,0.017675669159
toll_plaza,0.833559,1,
greenhouse_indoor,0.833721,3,0.018865451079
shrine,0.833886,1,
conference_center,0.836722,1,
baseball_field,0.836838,1,
dance_school,0.837151,1,
laboratorywet,0.837365,1,
aquarium,0.839142,1,
museum_indoor,0.83922975,4,0.000817931700917
computer_room,0.8392925,2,1.0556045e-06
boxing_ring,0.839329,1,
parking_garage_indoor,0.839404,2,0.01223517245
japanese_garden,0.839639,1,
badlands,0.8404865,2,0.0019336114845
game_room,0.8405773,10,0.0172581146373
bow_window_outdoor,0.8408935,2,0.0106312987445
hotel_room,0.8431669375,16,0.0052253004102
artificial,0.843254,1,
poolroom_home,0.8434372,10,0.00477157528818
nursery,0.843927666667,6,0.00706911464987
snowfield,0.846215,2,0.005444669952
crosswalk,0.8481765,2,0.0012788141645
industrial_area,0.848668,1,
synagogue_indoor,0.849049,1,
liquor_store_outdoor,0.849598,1,
medina,0.850086,1,
chemistry_lab,0.850926,1,
beer_garden,0.8511,1,
corridor,0.851969642857,14,0.00453158996686
freeway,0.852257,1,
hayloft,0.852343,1,
dam,0.85267,1,
cybercafe,0.852917,1,
elevator_interior,0.853343,2,0.003663337608
seawall,0.854528,1,
assembly_line,0.85464,1,
planetarium_outdoor,0.854697,2,0.001791968978
art_gallery,0.855346142857,7,0.0167719345335
landing_deck,0.855699666667,3,0.0230377272243
fence,0.855946,1,
downtown,0.856781,1,
wind_farm,0.858311,1,
volleyball_court_indoor,0.8595705,2,0.0027677544005
farmhouse,0.859612,1,
snowbank,0.859679,1,
carport_outdoor,0.860944,1,
cliff,0.862535,1,
control_tower_outdoor,0.863593,2,0.004047660338
catwalk,0.864046,1,
youth_hostel,0.86422825,4,0.00717633888292
stadium_outdoor,0.86459,1,
train_station_outdoor,0.864713,1,
chicken_farm_outdoor,0.864966,1,
plaza,0.866091,3,0.008931322267
saloon,0.868614,1,
cloister_indoor,0.868703,2,0.001584394632
arbor,0.868777,1,
factory_indoor,0.86958,1,
vat,0.869695,1,
military_headquarters,0.870845,1,
airplane_cabin,0.873742,2,0.004868673842
building_facade,0.874629043478,23,0.0151684396869
village,0.875524,1,
airport_ticket_counter,0.876503,1,
levee,0.876923,1,
courtroom,0.876967,2,1.6233602e-05
forest_path,0.877431333333,3,0.0302800579323
garden,0.877636,1,
highway,0.8778316,30,0.0124741507311
igloo,0.878025,1,
backseat,0.880085,1,
jail_outdoor,0.881041,1,
street,0.88309362069,203,0.00557427511421
corral,0.885089,1,
furnace_room,0.885886,1,
stage_outdoor,0.886189,1,
one-way_street,0.887571,1,
barbeque,0.887894,1,
nunnery,0.8882655,2,0.0065108883845
shed,0.888472,1,
cheese_factory,0.8891105,2,0.0191400482045
mountain_snowy,0.889275909091,11,0.0128526038759
jury_box,0.889795,1,
pub_outdoor,0.890218,1,
hotel_outdoor,0.891104,1,
workroom,0.891738,1,
whispering_gallery,0.892295,1,
parking_garage_outdoor,0.893872,1,
golf_course,0.8945585,2,0.0109678417245
baggage_claim,0.895057,3,0.004653127549
dry,0.895391,1,
zoo,0.895547,1,
newsroom,0.896906,1,
granary,0.897002,1,
fishpond,0.897943,1,
lab_classroom,0.897967,1,
shelter,0.899018,1,
